scientific_names
Cacicus oseryi
Tinamus tao
Iodopleura isabellae
Ara macao
Klais guimeti
Querula purpurata
Falco rufigularis
Euphonia chrysopasta
Cranioleuca gutturata
Nonnula ruficapilla
Hypocnemis peruviana
Buteogallus urubitinga
Discosura popelairii
Sittasomus griseicapillus
Ramphocelus nigrogularis
Coryphospingus cucullatus
Myiophobus fasciatus
Sporophila castaneiventris
Spizaetus melanoleucus
Ramphotrigon fuscicauda
Formicarius analis
Chlorostilbon mellisugus
Anabazenops dorsalis
Poecilotriccus pulchellus
Cotinga maynana
Terenotriccus erythrurus
Colonia colonus
Crypturellus cinereus
Dendrocolaptes picumnus
Taraba major
Myrmoborus lophotes
Synallaxis gujanensis
Chionomesa lactea
Thamnomanes schistogynus
Myiodynastes luteiventris
Piranga olivacea
Chloroceryle americana
Phaethornis hispidus
Phaethornis stuarti
Micrastur ruficollis
Herpetotheres cachinnans
Pipile cumanensis
Columbina talpacoti
Piaya melanogaster
Coccyzus melacoryphus
Threnetes leucurus
Phaethornis guy
Egretta caerulea
Bubulcus ibis
Lophostrix cristata
Pulsatrix melanota
Nystalus obamai
Malacoptila semicincta
Galbula cyanescens
Aulacorhynchus albivitta
Picumnus aurifrons
Dryobates passerinus
Cymbilaimus sanctaemariae
Epinecrophylla ornata
Microrhopias quixensis
Hypocnemis subflava
Myrmoborus myotherinus
Akletos goeldii
Campylorhamphus trochilirostris
Automolus rufipileatus
Corythopis torquatus
Poecilotriccus latirostris
Tolmomyias sulphurescens
Cinclus leucocephalus
Myiothlypis chrysogaster
Paroaria gularis
Cissopis leverianus
Volatinia jacarina
Coereba flaveola
Geotrygon saphirina
Melanerpes cruentatus
Hylophylax naevius
Stelgidopteryx ruficollis
